evaluated,hit_rate,hits,max_abs_SCAR,mean_abs_SCAR,median_abs_SCAR,run_id,scope,skipped
53,0.07547169811320754,4,6.107143258536974,0.9578126390084648,0.744017617896637,40,second_order,1
186,0.0913978494623656,17,7.402504941276007,0.8467154063003123,0.6235442594908557,41,all,0
131,0.08396946564885496,11,4.824738588056284,0.8468661754760051,0.6240217291747396,41,first_order,1
54,0.07407407407407407,4,5.185106371957386,0.9544776843408977,0.9302657381629703,41,second_order,0
186,0.08602150537634409,16,7.402504941276007,0.82356461353978,0.5923173382165667,42,all,0
132,0.09090909090909091,12,4.182276018096301,0.8478245868056802,0.6761207214852251,42,first_order,0
53,0.09433962264150944,5,5.6157714726161645,0.9509703899441766,0.6241211007861365,42,second_order,1
186,0.11290322580645161,21,7.402504941276007,0.8883944286251881,0.6240256774674762,43,all,0
132,0.09090909090909091,12,4.751979074252413,0.8425613507151477,0.6050033447634438,43,first_order,0
53,0.05660377358490566,3,3.1110512172487033,0.8514152890534471,0.7766160158891702,43,second_order,1
186,0.10752688172043011,20,7.402504941276007,0.8680254804707416,0.6237255912872379,44,all,0
132,0.10606060606060606,14,5.379663780555674,0.9497008588883786,0.6648867603238441,44,first_order,0
53,0.1509433962264151,8,6.107143258536974,1.1352106508340454,0.7766160158891702,44,second_order,1
186,0.07526881720430108,14,4.824738588056284,0.8423091340175113,0.6216484895296243,45,all,0
132,0.12121212121212122,16,7.402504941276007,0.9460214410700616,0.6380807578550375,45,first_order,0
53,0.07547169811320754,4,3.928708631946251,0.8750783177510195,0.689820711327864,45,second_order,1
185,0.11891891891891893,22,5.263562138717859,0.9311549573941936,0.6641446718579378,46,all,1
131,0.07633587786259542,10,5.799280119074019,0.9491071077170485,0.737788801052602,46,first_order,1
54,0.1111111111111111,6,3.28939812699989,0.867840922566007,0.7563231853223353,46,second_order,0
186,0.0967741935483871,18,5.293386789610306,0.925427928242293,0.681825876370296,47,all,0
131,0.10687022900763359,14,6.107143258536974,0.9351747752343422,0.659677293414314,47,first_order,1
53,0.09433962264150944,5,3.0203453616877467,0.9285733299086506,0.6400588527603166,47,second_order,1
185,0.11351351351351352,21,6.691101557193222,0.9225080272795997,0.6426561196993434,48,all,1
132,0.06818181818181818,9,6.691101557193222,0.8991866394391363,0.6305673620994254,48,first_order,0
53,0.03773584905660377,2,5.6157714726161645,0.8203723377718307,0.6124702570880387,48,second_order,1
185,0.07027027027027027,13,6.107143258536974,0.8653903025531089,0.6491245274385845,49,all,1
132,0.09848484848484848,13,5.379663780555674,0.9373888475837293,0.664441401799724,49,first_order,0
54,0.07407407407407407,4,3.928708631946251,0.9204970322092134,0.7623348018220739,49,second_order,0
186,0.12365591397849462,23,5.263562138717859,0.9366078352881801,0.6189049725827328,50,all,0
132,0.09848484848484848,13,7.402504941276007,0.9132692713726193,0.6263565123795563,50,first_order,0
53,0.1509433962264151,8,3.6769103605760836,1.0057914330668547,0.8712477463241897,50,second_order,1
185,0.10810810810810811,20,5.379663780555674,0.9439489786683604,0.7329804417329422,51,all,1
131,0.10687022900763359,14,6.107143258536974,0.9373491737216826,0.7569106466976233,51,first_order,1
54,0.037037037037037035,2,6.107143258536974,0.8363410807616704,0.6161688913737755,51,second_order,0
186,0.11290322580645161,21,7.402504941276007,0.9562839989182678,0.6650632916522371,52,all,0
132,0.14393939393939395,19,6.107143258536974,1.0326150487306451,0.7389517163511197,52,first_order,0
54,0.05555555555555555,3,3.31680671442054,0.8179090309563823,0.7078541028679173,52,second_order,0
185,0.12432432432432433,23,4.646173456637406,0.9607496012384382,0.7467592975456562,53,all,1
132,0.11363636363636363,15,7.402504941276007,0.9042409560237258,0.6003178115625482,53,first_order,0
54,0.12962962962962962,7,5.6157714726161645,0.9554234211264917,0.5288532539854889,53,second_order,0
185,0.11351351351351352,21,6.107143258536974,0.9301824747184962,0.7042871243384402,54,all,1
132,0.09090909090909091,12,6.107143258536974,0.9001596597343341,0.5648338004473554,54,first_order,0
54,0.14814814814814814,8,2.6807289449508125,1.0020812890941193,1.0010238172225294,54,second_order,0
186,0.12903225806451613,24,5.293386789610306,0.9694196835491933,0.6532937617193428,55,all,0
